model,accuracy_mean,accuracy_std,accuracy_ci95,precision_macro_mean,precision_macro_std,precision_macro_ci95,recall_macro_mean,recall_macro_std,recall_macro_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,training_time_mean,training_time_std,feature_method,selected_features
GaussianNB + scaling + SMOTE,0.7141176470588235,0.11201914190608278,0.031050121986879804,0.7375359379182908,0.0985319182876831,0.02731165433313949,0.7215852644087939,0.09659722213284408,0.02677538391905558,0.7058013664423076,0.10496069192206099,0.02909361947031959,0.008381056785583495,0.005660405889096655,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
"Baseline SVM-linear (no scaling, no SMOTE)",0.7149197860962566,0.06103811911410611,0.016918903431091006,0.7934935135632247,0.07657124521507813,0.021224466320308052,0.6524662309368192,0.08386696845581408,0.023246737628164447,0.6782040285601691,0.08828341827021882,0.024470915060278427,0.20048776626586914,0.20826897955324997,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
SVM-sigmoid + scaling + SMOTE,0.6722459893048129,0.08152747799986701,0.02259826395832327,0.6669375975739011,0.10378985808583277,0.028769080888585652,0.6325153495741731,0.09150241531783405,0.025363175519545807,0.6268433060227651,0.09227334184073915,0.025576865449425765,0.01147305965423584,0.014465434497482037,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
SVM-poly + scaling + SMOTE,0.6468449197860963,0.07333877111369573,0.020328470212325877,0.6971108315497105,0.12663681225852147,0.03510193348877251,0.583894632600515,0.09841362213389103,0.0272788643122259,0.5973602398951183,0.1069594089847633,0.029647635574693933,0.010594077110290527,0.012911205624167772,Mutual Information,Surfactant (HLB); Surfactant Amount (g); Co-Surfactant (Ratio); Oil (mPa.s); Water Phase Amount (g); Oil Amount (g)
DecisionTree-pruned + scaling + SMOTE,0.8662388591800356,0.05211220239132217,0.014444765543840133,0.8752189934174051,0.06278233220676764,0.017402374634107896,0.8153115468409585,0.07831860482277393,0.021708809692795133,0.8287893904167244,0.07285082220707799,0.020193217675875026,0.00470883846282959,0.0007804735179769177,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
KNN + scaling + SMOTE,0.7685561497326203,0.08010377199553427,0.02220363278765203,0.7806067915535206,0.09692544072590929,0.026866361471459804,0.7252041988512576,0.10125298704402065,0.02806589611165449,0.7347222550249036,0.10030569442997972,0.02780331999544123,0.004411063194274902,0.0007630669410811712,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
SVM-rbf + scaling + SMOTE,0.7529590017825311,0.06618128623588879,0.01834451662373759,0.7858660103283942,0.0829449991620964,0.0229911807782281,0.7105228758169935,0.09036709174281377,0.025048479880040588,0.723530698293233,0.0858211746270433,0.02378841594288546,0.010793380737304688,0.0008320434679141955,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
"Baseline SVM-linear (no scaling, no SMOTE)",0.7469696969696971,0.0657518520825567,0.018225483549395058,0.8377902446772753,0.05615697896946753,0.015565920410982243,0.6818510596157654,0.09334065957226599,0.025872710830837926,0.7103248204442327,0.09327238892855358,0.025853787173868922,0.1731341600418091,0.09992030425544285,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
SVM-linear + scaling + SMOTE,0.72777183600713,0.07320770577033439,0.02029214075264269,0.751732509887275,0.09388752657825387,0.026024294631227685,0.6969887106357696,0.09654755743661583,0.026761617567608066,0.7048743523879106,0.09593837031098701,0.026592759511370943,0.008950085639953613,0.0010822080546258966,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
GaussianNB + scaling + SMOTE,0.7050623885918003,0.11524694863857957,0.031944824366211766,0.7665828407756327,0.09891478061744799,0.02741777835659744,0.7016343830461477,0.10317492322345694,0.028598629641005457,0.7013726749365332,0.11877334306811915,0.032922291032604,0.004288215637207032,0.0004958185478326075,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
